sweep_id,dataset,model,loss,id,validation_accuracy,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value,test_accuracy
9u913qxq,cifar10,BPreActResNet,scfe_regularization,19,0.8050000071525574,loss_alpha,-0.020462760520040035,estimator_reg_coef_value,1.8139578186612344,0.8119999766349792
9u913qxq,cifar10,BPreActResNet,scfe_regularization,20,0.8050000071525574,loss_alpha,-0.032017041150921854,estimator_reg_coef_value,0.8924588117387705,0.8069999814033508
9u913qxq,cifar10,BPreActResNet,scfe_regularization,21,0.8044999837875366,loss_alpha,-0.014503015968240218,estimator_reg_coef_value,1.3228085379808383,0.8299999833106995
9u913qxq,cifar10,BPreActResNet,scfe_regularization,22,0.8044999837875366,loss_alpha,-0.01965315196033346,estimator_reg_coef_value,2.057470869591735,0.8240000009536743
9u913qxq,cifar10,BPreActResNet,scfe_regularization,23,0.8040000200271606,loss_alpha,-0.014908703420667193,estimator_reg_coef_value,0.5007505466954232,0.8209999799728394
9u913qxq,cifar10,BPreActResNet,scfe_regularization,24,0.8040000200271606,loss_alpha,-0.03465584505498598,estimator_reg_coef_value,2.294906273444894,0.8134999871253967
9u913qxq,cifar10,BPreActResNet,scfe_regularization,25,0.8009999990463257,loss_alpha,-0.01057187395537229,estimator_reg_coef_value,0.14617608343552407,0.8084999918937683
9u913qxq,cifar10,BPreActResNet,scfe_regularization,26,0.800000011920929,loss_alpha,-0.13466710390322278,estimator_reg_coef_value,1.4681413364711546,0.7695000171661377
9u913qxq,cifar10,BPreActResNet,scfe_regularization,27,0.7990000247955322,loss_alpha,-0.022769848047891283,estimator_reg_coef_value,1.93111144750942,0.8240000009536743
9u913qxq,cifar10,BPreActResNet,scfe_regularization,28,0.7985000014305115,loss_alpha,-0.02243693897496135,estimator_reg_coef_value,1.4060622484158285,0.8115000128746033
9u913qxq,cifar10,BPreActResNet,scfe_regularization,29,0.7979999780654907,loss_alpha,-0.09121914825957612,estimator_reg_coef_value,1.885708985493856,0.7985000014305115
9u913qxq,cifar10,BPreActResNet,scfe_regularization,30,0.7975000143051147,loss_alpha,-0.1528703902032198,estimator_reg_coef_value,2.210776405069659,0.7519999742507935
9u913qxq,cifar10,BPreActResNet,scfe_regularization,31,0.796999990940094,loss_alpha,-0.08602504533060906,estimator_reg_coef_value,1.2147950327208692,0.8019999861717224
9u913qxq,cifar10,BPreActResNet,scfe_regularization,32,0.7954999804496765,loss_alpha,-0.06454034009016862,estimator_reg_coef_value,0.7739970064985155,0.8130000233650208
